Gene,log2FoldChange,lfcSE,logCPM,stat,pvalue
ANXA9,3.8504488844274727,0.003654532831286108,4.881776693544732,1600.1411209164617,0.0
ABAT,3.413274082641128,0.0027288373597136014,6.305095088941454,1770.913727413114,0.0
C6orf15,-5.947493465428292,0.018758295949581116,2.0859588467630803,1882.117988431137,0.0
C5AR2,2.783647640520168,0.002340753854802764,4.187570184231982,1519.1643305607781,0.0
CDC123,-0.9764266352211359,0.0004467481010153174,5.746474874686959,1700.3518249784502,0.0
HRCT1,-3.3051489820896127,0.005620732446171359,2.5291394346036933,1925.3582473984216,0.0
NUP93,-0.9901205105157618,0.00039568282912701944,5.253558039510181,1975.473247862768,0.0
ABTB2,-2.1085647908432352,0.0024151055550108414,3.4940133989197646,1673.2033906303254,0.0
ANP32E,-1.6126406248400935,0.0011836496398607318,5.065956860948316,1896.2836670152733,0.0
PRR11,-2.4305663612890944,0.001755600844456492,2.5439186114576544,3136.571498502908,0.0
PRR4,-3.5844128197321,0.004650189881452592,2.968230293383837,2768.120331656336,0.0
PRR15,3.7673739049010164,0.0027166397840383202,5.1475838533226606,2084.9068473288826,0.0
LAMP3,-2.6345127025319637,0.004349566741935153,3.534665712735761,1518.8937521517728,0.0
RRM2,-2.0863066477512193,0.0024642177180452733,4.577215947709226,1603.875016389784,0.0
IGF2BP3,-6.042945840657536,0.012062831165605836,0.9841297004623826,3028.167300859755,0.0
FDCSP,-6.811112862145565,0.018156470561565927,6.551342699513982,2457.7307426678385,0.0
ZNF695,-3.2353451958508765,0.004921478860710588,0.5311320559234229,2090.9317090746495,0.0
MCM5,-1.3475546246391712,0.0007651007719581532,6.026099821179986,1985.117991603549,0.0
NOP2,-1.2135812156175656,0.0007360284391523046,5.213342534234755,1644.553077177316,0.0
MCM6,-1.306629246487778,0.0006209484229269393,5.7499273778406605,2287.107475269564,0.0
GABRP,-3.869038133772384,0.007444988400351406,5.835194565315976,2034.0168866064464,0.0
CENPA,-2.8707310753209994,0.00279776094998638,1.6979364148906944,2834.2367422790794,0.0
FANCA,-2.2841295376004984,0.0016885421670668958,3.2470373751309873,2849.35250003875,0.0
PSMB2,-0.8209328755463363,0.0003576383783255766,6.433318751583632,1470.6177238361208,0.0
KPNA2,-1.597529788562999,0.0009563044117668615,6.4826558079404455,2300.808864943967,0.0
PSAT1,-4.440651625951984,0.003797226818536771,3.1498485122852613,5286.133111300833,0.0
IGF2BP2,-3.256552942655856,0.003492829027394647,2.8452292008912194,2998.678286305469,0.0
C1orf64,6.38365280244586,0.007940630221993521,5.24566687144413,1519.9127164749127,0.0
SLC7A8,2.224215625479045,0.0012400834618478105,7.13762527848811,1962.347102367903,0.0
SLC7A5,-2.6443070896431373,0.003473891486435134,6.532663382020569,1918.7101909498324,0.0
TCF19,-1.6864203521482368,0.0008138022108706572,4.611835840477169,3036.7664357131907,0.0
DEPDC1,-2.625167458385049,0.0038952161962078954,2.221435508246896,1680.558144784431,0.0
LRP8,-2.6161592542486964,0.0020913435342340358,2.982793259616601,3102.2856266717745,0.0
WARS,-1.8491088144063348,0.0012561492666785389,6.803854383655443,2413.6843131642486,0.0
CCNA2,-2.5250610434610223,0.0022796093257402483,3.5041902963742557,2636.5780516322966,0.0
FAM174B,1.8398080115201334,0.0010686341570152154,5.9610223139891385,1655.3481100826004,0.0
PIF1,-2.894171670170317,0.00412523388834326,0.5699746296284445,1952.563730365392,0.0
FANCE,-1.5111659618653221,0.0010899577192125494,2.645533324233362,1775.777057772355,0.0
TMSB15A,-3.7109512165471865,0.007656832058207057,0.6741492846644459,1809.12607097824,0.0
C9orf40,-1.3337121600903685,0.0007876910299274821,2.2347816440274295,1863.7386953491398,0.0
C9orf116,2.5151169864649834,0.00203784757400463,3.2953119812820306,1499.0191557456978,0.0
DIAPH3,-2.3438697991627135,0.002785667724642027,2.668639950193537,1830.3324331262543,0.0
STAG3,-2.5903760457600162,0.004007953174609395,1.086939831100036,1580.6604253728235,0.0
DDX39A,-1.207286740159061,0.0008036375654732021,5.515595789493687,1490.0085626692858,0.0
FEN1,-1.2434447082436004,0.0008622499590165275,5.0710617198256704,1479.4535470465607,0.0
DEGS2,4.2847398133293115,0.0031383140425209877,6.871716679328476,2158.4840048843967,0.0
NRTN,-2.9211409519874567,0.005447821672304248,0.8797941274165977,1515.2544980109458,0.0
DEK,-1.4927522166603675,0.0008160091859602568,6.618596454598379,2325.5648506800135,0.0
IL4I1,-2.350073285427132,0.0031668048415967797,4.320398353669982,1622.3530541667415,0.0
CHODL,-4.281095017353587,0.008664249554326856,0.38592926196520855,2156.9980298975233,0.0
CA12,3.735888303952927,0.0024844373471898397,8.61342689993317,2220.208415086655,0.0
TSPAN33,-1.5388950044216732,0.00131095210703619,4.578551284530936,1545.207257317438,0.0
RBM38,-1.718408950381974,0.001337612185298193,5.311991572298114,1928.5967607067369,0.0
RBM17,-0.8440735170449482,0.00039107986375236023,5.970299845314136,1425.8665921264594,0.0
SHCBP1,-2.092370552218809,0.0021053678679095363,2.6477142282643586,1883.4451781484115,0.0
CHRM3,-3.26222654173578,0.004343476369942789,1.711017884176539,2417.2465209471284,0.0
HPDL,-3.157876801121092,0.0052620207433555395,0.9845404575026093,1859.0805305815832,0.0
RHCG,-6.316675640592367,0.026608084053582205,1.0972517467027367,1487.624133303348,0.0
RHBDF2,-1.3113906087200577,0.0009996880983497132,5.161509652173998,1431.8342337663566,0.0
SUV39H2,-1.4265522334232608,0.0010361971287594792,2.1095662681304344,1642.67706210984,0.0
CYP27C1,-3.782617090291423,0.008127241061011295,-0.15465787347329624,1774.7814124997344,0.0
MKI67,-2.1990934496329815,0.002107104569103223,6.129068986056359,2107.463177282035,0.0
MLPH,3.6577025747146243,0.0019138933624320668,7.714095718380088,2797.5823140794164,0.0
VSTM5,-2.7629237317834603,0.004740865018825975,-0.26446799465892634,1532.1864900233659,0.0
LAG3,-3.1144536114197043,0.00512846209662442,2.5870597482241386,1855.4186821636617,0.0
FAM47E,2.9824561995951147,0.0025863897858490205,2.4176662797449975,1604.0772691240832,0.0
