Gene,PC1,abs_PC1
KHDRBS1,0.013616963184063352,0.013616963184063352
WDR33,0.013514960651601158,0.013514960651601158
HNRNPK,0.013407198616323958,0.013407198616323958
THRAP3,0.013289297042736209,0.013289297042736209
CTCF,0.01321079457035077,0.01321079457035077
YY1,0.013205899470400823,0.013205899470400823
FUBP3,0.013191576163779193,0.013191576163779193
HNRNPR,0.013179386601591018,0.013179386601591018
PKNOX1,0.013172477445741487,0.013172477445741487
CDK13,0.01315554560578324,0.01315554560578324
SF3B1,0.013122675781923577,0.013122675781923577
DHX9,0.013110428566260955,0.013110428566260955
ZFR,0.013107279637677851,0.013107279637677851
BRAP,0.013048106794057322,0.013048106794057322
SF1,0.013041980389128946,0.013041980389128946
SP1,0.01303057381090055,0.01303057381090055
PUM1,0.013021522914306981,0.013021522914306981
FBXO42,0.013003698854502165,0.013003698854502165
EIF2B1,0.01299949714534351,0.01299949714534351
TRA2B,0.012997549346203893,0.012997549346203893
ELAVL1,0.012997038938846399,0.012997038938846399
ZNF143,0.012996918874376148,0.012996918874376148
YTHDC1,0.012987180887471066,0.012987180887471066
MARK3,0.012979292566649122,0.012979292566649122
CELF1,0.012963589605439857,0.012963589605439857
CLASP1,0.012953359661837425,0.012953359661837425
INO80,0.012948560253077075,0.012948560253077075
TRIP12,0.012942527629335237,0.012942527629335237
SETD3,0.012935260165879276,0.012935260165879276
RBM45,0.012932676942409786,0.012932676942409786
CHMP3,0.012904955126124147,0.012904955126124147
C10orf76,0.012889027034254949,0.012889027034254949
FIP1L1,0.012873322672853378,0.012873322672853378
DUSP11,0.012872742259237055,0.012872742259237055
SON,0.012871571684868766,0.012871571684868766
QRICH1,0.012870370200380394,0.012870370200380394
SPTLC1,0.01286713669575525,0.01286713669575525
XRCC5,0.012853486282575998,0.012853486282575998
WAC,0.01285031481738519,0.01285031481738519
SEC24B,0.01284870262195393,0.01284870262195393
RBM22,0.012848166216162247,0.012848166216162247
FBXO34,0.012846045357436052,0.012846045357436052
CNOT4,0.012843369355975444,0.012843369355975444
XRN2,0.012835537802187264,0.012835537802187264
TMEM248,0.012820302671880677,0.012820302671880677
TOR1A,0.012819195773682526,0.012819195773682526
PIK3R4,0.012814093982670896,0.012814093982670896
HMG20A,0.012803906436040085,0.012803906436040085
HNRNPM,0.012799426842810008,0.012799426842810008
VTI1A,0.01276263885456657,0.01276263885456657
RBM27,0.012754262051144702,0.012754262051144702
IWS1,0.012754135691542469,0.012754135691542469
EXOC1,0.012751800153349344,0.012751800153349344
CLPX,0.012751535067278457,0.012751535067278457
TMEM184C,0.012750573852054593,0.012750573852054593
RABGAP1,0.01274736965436501,0.01274736965436501
PRDM10,0.01274493904117857,0.01274493904117857
ZFP91,0.012737621277398985,0.012737621277398985
SMARCD1,0.012735543548086564,0.012735543548086564
ALS2,0.01272639503277556,0.01272639503277556
WDR82,0.012724994336208271,0.012724994336208271
PWP1,0.012722071475795566,0.012722071475795566
VPS8,0.012717961723469291,0.012717961723469291
PWWP2A,0.012713239433368217,0.012713239433368217
VAMP3,0.012712554023170758,0.012712554023170758
DDX50,0.012708464029035086,0.012708464029035086
PHAX,0.012708104529736535,0.012708104529736535
C9orf78,0.012706017787820155,0.012706017787820155
LUC7L2,0.012703928155617664,0.012703928155617664
THADA,0.012699704303358782,0.012699704303358782
PCYT1A,0.012698871282265455,0.012698871282265455
PRPF4B,0.012696500341790304,0.012696500341790304
PARG,0.012695741638391721,0.012695741638391721
UBXN4,0.012691444868326067,0.012691444868326067
PUM2,0.012689504989972929,0.012689504989972929
UBQLN2,0.012687771583706377,0.012687771583706377
RNF111,0.012686244094618424,0.012686244094618424
SFPQ,0.01268582965592149,0.01268582965592149
WDR92,0.012685782260124102,0.012685782260124102
DNAJC8,0.012680117894030946,0.012680117894030946
SRSF3,0.01267911137967416,0.01267911137967416
SMU1,0.012669797399517964,0.012669797399517964
CCAR1,0.01266919616717803,0.01266919616717803
EIF4G2,0.012656042508729145,0.012656042508729145
TRIP4,0.01265230897026755,0.01265230897026755
DNAJC13,0.012647225146354961,0.012647225146354961
PPHLN1,0.012646903438089708,0.012646903438089708
DCP1A,0.01264681366520795,0.01264681366520795
ICMT,0.012644463223130507,0.012644463223130507
GIT2,0.01264339939385592,0.01264339939385592
RIPK1,0.012643190814650831,0.012643190814650831
SCAF11,0.012643029292616539,0.012643029292616539
RNF20,0.012639924312705868,0.012639924312705868
USP4,0.012639454443054305,0.012639454443054305
NRF1,0.012639331023615027,0.012639331023615027
CHD4,0.012635678272113373,0.012635678272113373
EIF4H,0.012632101187778622,0.012632101187778622
HDAC3,0.012631575754332082,0.012631575754332082
ANAPC1,0.012631402870425006,0.012631402870425006
PDCL,0.01262518028100582,0.01262518028100582
